l_email,learning_style
user1@example.com,Visual
user2@example.com,Auditory
user3@example.com,Reading/Writing
user4@example.com,Reading/Writing
user5@example.com,Auditory
user6@example.com,Reading/Writing
user7@example.com,Kinesthetic
user8@example.com,Reading/Writing
user9@example.com,Reading/Writing
user10@example.com,Kinesthetic
user11@example.com,Visual
user12@example.com,Reading/Writing
user13@example.com,Kinesthetic
user14@example.com,Kinesthetic
user15@example.com,Kinesthetic
user16@example.com,Kinesthetic
user17@example.com,Kinesthetic
user18@example.com,Visual
user19@example.com,Visual
user20@example.com,Kinesthetic
user21@example.com,Visual
user22@example.com,Reading/Writing
user23@example.com,Visual
user24@example.com,Reading/Writing
user25@example.com,Auditory
user26@example.com,Visual
user27@example.com,Reading/Writing
user28@example.com,Auditory
user29@example.com,Visual
